,Phone Name,Rating,Price,Memory,Display,Camera,Battery
70,Samsung Guru Music 2 B310ED,3.2,₹947,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB,4.57 cm (1.8 inch) VGA Display,0MP | 0MP Front Camera,800 mAh Battery
71,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)",4.3,"₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
72,"realme P3 5G (Space Silver, 256 GB)",4.4,"₹18,499",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery
73,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)",4.4,"₹20,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
74,"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)",4.3,"₹21,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
75,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,4.1,"₹1,349",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) Quarter QVGA Display,0.8MP + 0MP | 0MP Front Camera,1900 mAh Battery
76,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,4.1,"₹1,349",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) Quarter QVGA Display,0.8MP + 0MP | 0MP Front Camera,1900 mAh Battery
77,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,4.1,"₹1,349",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) Quarter QVGA Display,0.8MP + 0MP | 0MP Front Camera,1900 mAh Battery
78,"Apple iPhone 15 (Green, 128 GB)",4.6,"₹64,900",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
79,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",4.1,"₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
80,Kechaoda K115,4.1,₹990,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery
81,"REDMI 13 5G (Orchid Pink, 128 GB)",4.3,"₹12,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Lithium Polymer Battery
82,"Apple iPhone 16 (Black, 256 GB)",4.6,"₹79,999",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor"
83,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",4.4,"₹33,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery
84,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)",4.3,"₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
85,"POCO M7 5G (Mint Green, 128 GB)",4.2,"₹10,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery
86,Kechaoda K115,4.1,₹995,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery
87,"Motorola g64 5G (Pearl Blue, 128 GB)",4.3,"₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
88,Kechaoda A26,4,₹892,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) Display,800 mAh Battery,NO WARRANTY
89,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)",4.5,"₹10,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5000 mAh Battery
90,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)",4.5,"₹10,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5000 mAh Battery
91,"POCO M7 5G (Satin Black, 128 GB)",4.1,"₹9,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery
92,"Motorola g45 5G (Pink Lavender, 128 GB)",4.3,"₹10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
93,"Samsung Galaxy F16 5G (Glam Green, 128 GB)",4.2,"₹11,999",6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery
94,"REDMI A3X (Ocean Green, 64 GB)",4.1,"₹5,999",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
95,"REDMI 13 5G (Orchid Pink, 128 GB)",4.3,"₹12,002",6 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,108MP Rear Camera,5030 mAh Battery
96,"Infinix Note 50s 5G+ (Titanium Grey, 128 GB)",4.4,"₹15,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 13MP Front Camera,5500 mAh Battery
97,"Infinix Note 50s 5G+ (Marine Drift, 256 GB)",4.4,"₹17,999",8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 13MP Front Camera,5500 mAh Battery
98,"Infinix Note 50s 5G+ (Burgundy Red, 128 GB)",4.4,"₹15,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 13MP Front Camera,5500 mAh Battery
